模型,数据集,电站,短临_MAE,短临_RMSE,超短期_MAE,超短期_RMSE,短期_MAE,短期_RMSE
Hybrid_v12.1,StateGrid,1,,,98.4,95.0,98.5,96.1
Hybrid_v12.1,StateGrid,2,,,98.7,96.7,97.9,96.3
Hybrid_v12.1,StateGrid,3,,,97.2,92.0,96.5,91.6
Hybrid_v12.1,StateGrid,4,,,98.2,95.0,98.4,95.3
Hybrid_v12.1,StateGrid,5,,,98.3,95.1,97.8,94.8
Hybrid_v12.1,StateGrid,6,,,97.8,94.7,98.5,95.5
Hybrid_v12.1,StateGrid,7,,,98.1,95.2,98.7,95.7
Hybrid_v12.1,StateGrid,8,,,98.3,95.6,98.5,95.7
Hybrid_v12.1,SKIPPD,1,,,98.5,95.8,99.0,96.0
Hybrid_v12.1,GEFCom2014,1,N/A,N/A,91.1,85.7,94.4,87.6
Hybrid_v12.1,GEFCom2014,2,N/A,N/A,91.4,85.7,94.2,87.3
Hybrid_v12.1,GEFCom2014,3,N/A,N/A,90.2,84.3,93.6,86.3
