,temperature_2m,dew_point_2m,surface_pressure,shortwave_radiation,cloud_cover,wind_speed_10m,precipitation,relative_humidity_2m
2019-01-01 00:00:00,-3.120514,-4.48172,88915.16,0.7822222,1.0,2.5402591,1.04904175e-05,90.30866
2019-01-01 01:00:00,-3.2402344,-4.3554993,88937.234,29.208889,0.99832153,2.6680744,4.2915344e-06,91.987595
2019-01-01 02:00:00,-2.3420105,-4.0538025,89013.58,94.933334,1.0,2.9271553,5.722046e-06,88.025024
2019-01-01 03:00:00,-2.657837,-4.131317,88991.91,131.89333,1.0,2.8829906,7.1525574e-06,89.58596
2019-01-01 04:00:00,-2.6139832,-3.9887695,88910.08,154.13333,1.0,2.7826672,2.3841858e-06,90.25547
2019-01-01 05:00:00,-1.582489,-3.6799011,88802.766,233.22667,1.0,2.503864,9.536743e-07,85.594536
2019-01-01 06:00:00,-1.6208801,-3.6701965,88695.7,233.47556,0.98168945,2.3925843,1.9073486e-06,85.89886
2019-01-01 07:00:00,-1.7318726,-3.721405,88673.17,224.10667,0.9508362,2.4015508,4.7683716e-06,86.27203
2019-01-01 08:00:00,-1.7791443,-3.5295105,88637.875,227.48445,0.9610901,2.5322733,2.861023e-06,87.824005
2019-01-01 09:00:00,-1.7713928,-3.5276794,88663.234,112.64,0.79467773,2.651514,1.9073486e-06,87.78591
2019-01-01 10:00:00,-1.7470398,-3.329132,88670.0,37.475555,0.85983276,2.013603,0.0,88.93717
2019-01-01 11:00:00,-1.6933899,-3.106659,88742.195,0.26666668,0.8557434,2.0904827,9.536743e-07,90.06765
2019-01-01 12:00:00,-1.905304,-3.1755676,88771.42,0.0,0.73147583,2.3809736,9.536743e-07,91.016136
2019-01-01 13:00:00,-1.7726746,-3.0451965,88776.984,0.0,0.9546814,2.3882437,3.8146973e-06,91.01026
2019-01-01 14:00:00,-1.7324524,-3.2375488,88826.164,0.0,0.99002075,2.5581946,1.04904175e-05,89.450485
2019-01-01 15:00:00,-2.0839539,-3.1799622,88879.75,0.0,1.0,2.640861,3.8146973e-06,92.19339
2019-01-01 16:00:00,-1.960968,-3.1164856,88900.57,0.0,1.0,2.7245414,8.583069e-06,91.79347
2019-01-01 17:00:00,-2.139038,-3.089447,88902.79,0.0,1.0,2.6158752,3.0517578e-05,93.19525
2019-01-01 18:00:00,-2.190155,-3.0022278,88893.88,0.0,1.0,2.3956616,0.00012588501,94.157005
2019-01-01 19:00:00,-2.1251526,-2.9394836,88883.445,0.0,1.0,2.3947153,0.000207901,94.14425
2019-01-01 20:00:00,-2.1392517,-2.8684998,88833.41,0.0,0.9975891,2.5819643,2.9563904e-05,94.74087
2019-01-01 21:00:00,-2.0229187,-2.8056946,88778.16,0.0,0.9918213,2.6077957,1.4305115e-05,94.37
2019-01-01 22:00:00,-2.284027,-2.8831177,88762.7,0.0,1.0,2.606347,9.059906e-06,95.65601
2019-01-01 23:00:00,-2.148468,-2.8901062,88743.38,0.0,0.9853821,2.2289224,4.2915344e-06,94.65329
2019-01-02 00:00:00,-2.0899353,-2.9421692,88819.41,1.1733333,0.97909546,1.7903335,1.9073486e-06,93.881
2019-01-02 01:00:00,-2.0101013,-3.0977478,88828.58,46.933334,0.95077515,1.6411184,1.4305115e-06,92.255394
2019-01-02 02:00:00,-0.24661255,-2.4549866,88874.53,151.30667,0.8854065,1.703508,0.0,85.0398
2019-01-02 03:00:00,-0.17849731,-2.1764832,88833.55,344.8889,0.7756958,1.3567537,0.0,86.38101
2019-01-02 04:00:00,0.008392334,-1.9208069,88763.0,495.66223,0.6956177,0.839942,0.0,86.839905
2019-01-02 05:00:00,1.756958,-1.1628723,88620.11,552.7822,0.51464844,0.56282395,0.0,80.94712
2019-01-02 06:00:00,2.0765686,-1.1382751,88496.3,606.68445,0.47738647,0.37756708,0.0,79.26255
2019-01-02 07:00:00,1.7519836,-0.5059509,88448.375,512.6578,0.59173584,0.58054864,0.0,84.9575
2019-01-02 08:00:00,2.3203125,-0.20370483,88406.78,404.21335,0.2246399,0.88160414,0.0,83.39493
2019-01-02 09:00:00,1.3192444,-1.0743713,88433.25,250.06223,0.26000977,0.802812,0.0,84.06948
2019-01-02 10:00:00,1.0575562,-0.20785522,88471.875,80.07111,0.8540344,1.481322,0.0,91.25542
2019-01-02 11:00:00,0.46572876,-0.62838745,88554.03,0.72888887,0.8753662,1.5513929,0.0,92.362434
2019-01-02 12:00:00,0.5944824,-0.4396057,88593.805,0.0,0.97836304,1.203228,0.0,92.774994
2019-01-02 13:00:00,0.81637573,-0.36135864,88565.16,0.0,0.85302734,1.0123283,0.0,91.82319
2019-01-02 14:00:00,1.0847473,0.13272095,88581.25,0.0,0.87960815,1.0060346,0.0,93.35678
2019-01-02 15:00:00,1.0463867,0.39526367,88554.7,0.0,0.84576416,0.8934219,0.0,95.41147
2019-01-02 16:00:00,1.5571594,0.7575989,88567.17,0.0,0.9251404,1.5357676,0.0,94.41466
2019-01-02 17:00:00,1.4706116,0.71014404,88553.11,0.0,0.8060303,1.4067972,0.0,94.67749
