,temperature_2m,dew_point_2m,surface_pressure,shortwave_radiation,cloud_cover,wind_speed_10m,precipitation,relative_humidity_2m
2017-01-01 00:00:00,11.518372,2.7997131,99991.47,207.82222,0.0,1.8197551,0.0,55.032776
2017-01-01 01:00:00,10.440399,3.323578,100053.766,52.8,0.018737793,2.0244658,0.0,61.351944
2017-01-01 02:00:00,9.402344,2.7976074,100091.586,0.0,0.0,1.8922563,0.0,63.367195
2017-01-01 03:00:00,8.734619,4.528839,100128.19,0.0,0.0,2.3329904,0.0,74.882416
2017-01-01 04:00:00,8.314636,5.292572,100156.41,0.0,0.0,1.8480902,0.0,81.25734
2017-01-01 05:00:00,7.5717773,4.976471,100149.516,0.0,0.0,1.7431986,0.0,83.61101
2017-01-01 06:00:00,7.802765,5.2466125,100158.266,0.0,0.02999878,1.6969316,0.0,83.86672
2017-01-01 07:00:00,8.367279,5.773651,100162.75,0.0,0.6437988,2.0525403,0.0,83.71566
2017-01-01 08:00:00,8.823761,6.5226746,100159.484,0.0,0.92926025,1.8456639,4.7683716e-07,85.47562
2017-01-01 09:00:00,9.116425,7.420471,100129.984,0.0,0.805542,2.0068498,0.0,89.125885
2017-01-01 10:00:00,9.684204,7.469208,100148.55,0.0,0.332489,2.57368,0.0,86.07198
2017-01-01 11:00:00,9.441223,7.4466248,100167.62,0.0,0.49438477,2.317706,1.4305115e-06,87.353745
2017-01-01 12:00:00,8.442047,6.7380066,100108.55,0.0,0.28567505,1.7551707,1.001358e-05,89.02124
2017-01-01 13:00:00,8.452698,6.7651367,100060.86,0.0,0.1625061,1.6985326,7.6293945e-06,89.122955
2017-01-01 14:00:00,8.448395,6.557007,100055.11,0.0,0.16619873,1.5975707,8.583069e-06,87.88236
2017-01-01 15:00:00,8.251556,5.6878967,100073.625,0.0,0.5510254,2.0594819,1.4305115e-06,83.87593
2017-01-01 16:00:00,8.540985,5.445648,100088.414,11.875556,0.5536804,2.1613963,5.722046e-06,80.87545
2017-01-01 17:00:00,8.775635,4.379364,100071.266,125.04889,0.2906189,2.534207,1.04904175e-05,73.89793
2017-01-01 18:00:00,9.294159,3.5801086,100132.58,266.13333,0.44174194,3.6263487,0.0,67.46119
2017-01-01 19:00:00,9.692139,3.0853577,100147.72,383.1111,0.3305664,4.030946,0.0,63.425083
2017-01-01 20:00:00,10.377991,3.32724,100102.01,435.36,0.24621582,4.229569,0.0,61.623947
2017-01-01 21:00:00,11.134094,2.1531372,100035.27,468.62222,0.12435913,4.705735,0.0,53.915123
2017-01-01 22:00:00,11.057587,2.9251404,100016.89,445.6,0.015625,4.654418,0.0,57.24618
2017-01-01 23:00:00,11.032837,2.7271118,99996.19,360.97778,0.07876587,4.768345,0.0,56.54077
2017-01-02 00:00:00,10.3741455,2.3365173,100032.6,198.11555,0.174469,4.334582,0.0,57.45815
2017-01-02 01:00:00,9.882599,2.5473938,100055.44,56.017776,0.39505005,3.7110157,0.0,60.27607
2017-01-02 02:00:00,9.301849,2.695984,100035.984,0.0,0.36566162,2.6440957,0.0,63.338837
2017-01-02 03:00:00,8.617767,3.1872253,100068.586,0.0,0.48382568,2.3781111,0.0,68.68159
2017-01-02 04:00:00,8.593292,3.7138367,100164.64,0.0,0.87002563,2.5043612,0.0,71.39958
2017-01-02 05:00:00,8.607941,4.055176,100198.03,0.0,1.0,2.4126725,9.536743e-07,73.06128
2017-01-02 06:00:00,8.658722,4.7155457,100199.766,0.0,1.0,1.9086736,6.341934e-05,76.25644
2017-01-02 07:00:00,8.287445,5.759857,100195.1,0.0,1.0,1.0498224,0.000114917755,84.08998
2017-01-02 08:00:00,8.810425,5.783539,100180.875,0.0,0.9531555,1.27275,0.000118255615,81.29683
2017-01-02 09:00:00,8.094696,5.5309143,100185.4,0.0,0.9812622,1.3194423,0.00016927719,83.85673
2017-01-02 10:00:00,6.495331,4.9726257,100245.45,0.0,1.0,1.0929961,0.00048065186,89.98989
2017-01-02 11:00:00,7.7344055,5.5624084,100252.87,0.0,0.964386,1.2597929,0.00019550323,86.12668
2017-01-02 12:00:00,6.854828,5.3329773,100248.14,0.0,0.98376465,1.1079662,0.00042819977,90.02256
2017-01-02 13:00:00,6.740753,5.010895,100229.58,0.0,0.96624756,1.6748048,0.0003671646,88.71993
2017-01-02 14:00:00,6.934906,5.502289,100213.234,0.0,0.98999023,1.4394073,0.0004081726,90.58805
2017-01-02 15:00:00,7.067627,5.474945,100233.445,0.0,0.98501587,1.7287713,0.0004887581,89.59722
2017-01-02 16:00:00,7.2566223,5.636444,100263.97,8.533334,1.0,1.5342177,0.00022792816,89.44147
2017-01-02 17:00:00,7.544464,5.6417847,100310.086,93.36889,0.9906311,1.3480582,0.00022506714,87.73149
2017-01-02 18:00:00,8.596802,6.173004,100361.39,199.46666,0.96875,1.7584167,8.4877014e-05,84.73099
2017-01-02 19:00:00,9.253021,5.6200867,100362.875,247.98222,0.9968872,2.0694575,0.00016212463,78.016525
2017-01-02 20:00:00,9.337982,5.177948,100340.84,290.15112,0.9906311,2.6923494,0.00012779236,75.22569
2017-01-02 21:00:00,9.761749,3.9786682,100303.67,204.24889,0.98934937,3.0849571,0.0001039505,67.2336
2017-01-02 22:00:00,9.925201,6.371063,100328.914,269.2089,0.8387451,3.0733728,8.106232e-05,78.54545
2017-01-02 23:00:00,10.310638,6.2688293,100326.336,199.82222,0.589386,2.7309957,9.059906e-05,76.0086
2017-01-03 00:00:00,10.398651,6.8609314,100324.36,147.00444,0.58255005,1.9721645,9.10759e-05,78.70532
2017-01-03 01:00:00,9.93158,6.4483337,100323.93,45.65333,0.569458,1.9683573,0.00046300888,78.93096
2017-01-03 02:00:00,9.598816,6.2102356,100372.76,0.0,0.6419678,1.7622193,0.00018310547,79.39864
2017-01-03 03:00:00,8.647675,7.1178894,100412.64,0.0,0.9406433,1.9314045,7.343292e-05,90.10814
2017-01-03 04:00:00,8.804169,7.272064,100434.69,0.0,0.9381714,2.2281408,4.5776367e-05,90.10554
2017-01-03 05:00:00,8.632355,7.169647,100441.375,0.0,0.97750854,2.2086356,0.000104904175,90.52195
2017-01-03 06:00:00,8.885468,7.5846863,100467.766,0.0,0.9549866,2.3806055,0.00021266937,91.54687
2017-01-03 07:00:00,9.409515,7.9996033,100535.27,0.0,1.0,1.9667342,0.00020265579,90.90339
