site_id,group,mae,rmse,nmae,nrmse,normalization_capacity,shape,stage,seed
0,chronos2_baseline,0.0563864820,0.1146576628,0.0563864820,0.1146576628,1.0000000000,"[2545, 24]",4A,2021
1,chronos2_baseline,0.0695754588,0.1518158764,0.0695754588,0.1518158764,1.0000000000,"[2545, 24]",4A,2021
2,chronos2_baseline,0.0642672479,0.1453535110,0.0642672479,0.1453535110,1.0000000000,"[2545, 24]",4A,2021
3,chronos2_baseline,0.0655679703,0.1446676403,0.0655679703,0.1446676403,1.0000000000,"[2545, 24]",4A,2021
4,chronos2_baseline,0.0681890026,0.1318674684,0.0681890026,0.1318674684,1.0000000000,"[2545, 24]",4A,2021
5,chronos2_baseline,0.0651458725,0.1418315768,0.0651458725,0.1418315768,1.0000000000,"[2545, 24]",4A,2021
6,chronos2_baseline,0.0737863928,0.1485624909,0.0737863928,0.1485624909,1.0000000000,"[2545, 24]",4A,2021
7,chronos2_baseline,0.0721924976,0.1380827278,0.0721924976,0.1380827278,1.0000000000,"[2545, 24]",4A,2021
8,chronos2_baseline,0.0576778241,0.1122439206,0.0576778241,0.1122439206,1.0000000000,"[2545, 24]",4A,2021
9,chronos2_baseline,0.0684688762,0.1349769235,0.0684688762,0.1349769235,1.0000000000,"[2545, 24]",4A,2021
0,fusion_aligned,0.0505877510,0.0971789584,0.0505877510,0.0971789584,1.0000000000,"[2545, 24]",4A,2021
1,fusion_aligned,0.0565209091,0.1072115600,0.0565209091,0.1072115600,1.0000000000,"[2545, 24]",4A,2021
2,fusion_aligned,0.0464120880,0.0929958001,0.0464120880,0.0929958001,1.0000000000,"[2545, 24]",4A,2021
3,fusion_aligned,0.0476507656,0.0976379365,0.0476507656,0.0976379365,1.0000000000,"[2545, 24]",4A,2021
4,fusion_aligned,0.0505540892,0.0969820023,0.0505540892,0.0969820023,1.0000000000,"[2545, 24]",4A,2021
5,fusion_aligned,0.0487395227,0.0987494886,0.0487395227,0.0987494886,1.0000000000,"[2545, 24]",4A,2021
6,fusion_aligned,0.0573334843,0.1161314994,0.0573334843,0.1161314994,1.0000000000,"[2545, 24]",4A,2021
7,fusion_aligned,0.0556744412,0.1043933406,0.0556744412,0.1043933406,1.0000000000,"[2545, 24]",4A,2021
8,fusion_aligned,0.0428006910,0.0824924111,0.0428006910,0.0824924111,1.0000000000,"[2545, 24]",4A,2021
9,fusion_aligned,0.0495934747,0.0972321108,0.0495934747,0.0972321108,1.0000000000,"[2545, 24]",4A,2021
0,fusion_shuffled,0.0823536590,0.2200046182,0.0823536590,0.2200046182,1.0000000000,"[2545, 24]",4A,2021
1,fusion_shuffled,0.0851165056,0.2007255107,0.0851165056,0.2007255107,1.0000000000,"[2545, 24]",4A,2021
2,fusion_shuffled,0.0828831196,0.1948138922,0.0828831196,0.1948138922,1.0000000000,"[2545, 24]",4A,2021
3,fusion_shuffled,0.0814687610,0.1780104786,0.0814687610,0.1780104786,1.0000000000,"[2545, 24]",4A,2021
4,fusion_shuffled,0.0885054693,0.2033831924,0.0885054693,0.2033831924,1.0000000000,"[2545, 24]",4A,2021
5,fusion_shuffled,0.0837766379,0.1913475841,0.0837766379,0.1913475841,1.0000000000,"[2545, 24]",4A,2021
6,fusion_shuffled,0.0914763138,0.2137115151,0.0914763138,0.2137115151,1.0000000000,"[2545, 24]",4A,2021
7,fusion_shuffled,0.0912037715,0.1917728037,0.0912037715,0.1917728037,1.0000000000,"[2545, 24]",4A,2021
8,fusion_shuffled,0.0800043568,0.1823358238,0.0800043568,0.1823358238,1.0000000000,"[2545, 24]",4A,2021
9,fusion_shuffled,0.0862318575,0.2156986147,0.0862318575,0.2156986147,1.0000000000,"[2545, 24]",4A,2021
0,stage3_mean_pooled_fusion,0.0610528775,0.1193459630,0.0610528775,0.1193459630,1.0000000000,"[2545, 24]",4A,2021
1,stage3_mean_pooled_fusion,0.0756073967,0.1722591668,0.0756073967,0.1722591668,1.0000000000,"[2545, 24]",4A,2021
2,stage3_mean_pooled_fusion,0.0698207468,0.1646258384,0.0698207468,0.1646258384,1.0000000000,"[2545, 24]",4A,2021
3,stage3_mean_pooled_fusion,0.0713750795,0.1598153114,0.0713750795,0.1598153114,1.0000000000,"[2545, 24]",4A,2021
4,stage3_mean_pooled_fusion,0.0734241158,0.1374944001,0.0734241158,0.1374944001,1.0000000000,"[2545, 24]",4A,2021
5,stage3_mean_pooled_fusion,0.0713957995,0.1602573097,0.0713957995,0.1602573097,1.0000000000,"[2545, 24]",4A,2021
6,stage3_mean_pooled_fusion,0.0791890100,0.1589400470,0.0791890100,0.1589400470,1.0000000000,"[2545, 24]",4A,2021
7,stage3_mean_pooled_fusion,0.0781055242,0.1441420913,0.0781055242,0.1441420913,1.0000000000,"[2545, 24]",4A,2021
8,stage3_mean_pooled_fusion,0.0631606579,0.1181166172,0.0631606579,0.1181166172,1.0000000000,"[2545, 24]",4A,2021
9,stage3_mean_pooled_fusion,0.0737118721,0.1441148072,0.0737118721,0.1441148072,1.0000000000,"[2545, 24]",4A,2021
0,chronos2_baseline,0.0563864820,0.1146576628,0.0563864820,0.1146576628,1.0000000000,"[2545, 24]",4A,2022
1,chronos2_baseline,0.0695754588,0.1518158764,0.0695754588,0.1518158764,1.0000000000,"[2545, 24]",4A,2022
