stage,seed,scenario,group,mae,rmse,nmae,nrmse,delta_mae_vs_baseline,relative_mae_vs_baseline_pct,reference_group,reference_mae,gate_mean,ungated_mae
4A,2021,complete,chronos2_baseline,0.0661257654,0.1370077282,0.0661257654,0.1370077282,0.0000000000,0.0000000000,chronos2_baseline,0.0661257654,,
4A,2021,complete,fusion_aligned,0.0505867228,0.0994585305,0.0505867228,0.0994585305,-0.0155390427,-23.4992253739,chronos2_baseline,0.0661257654,,
4A,2021,complete,fusion_shuffled,0.0853020400,0.1996329725,0.0853020400,0.1996329725,0.0191762745,28.9997014169,chronos2_baseline,0.0661257654,,
4A,2021,complete,stage3_mean_pooled_fusion,0.0716843084,0.1489650607,0.0716843084,0.1489650607,0.0055585429,8.4060167319,chronos2_baseline,0.0661257654,,
4A,2022,complete,chronos2_baseline,0.0661257654,0.1370077282,0.0661257654,0.1370077282,0.0000000000,0.0000000000,chronos2_baseline,0.0661257654,,
4A,2022,complete,fusion_aligned,0.0511580817,0.1018390432,0.0511580817,0.1018390432,-0.0149676837,-22.6351764739,chronos2_baseline,0.0661257654,,
4A,2022,complete,fusion_shuffled,0.0868740305,0.1932930350,0.0868740305,0.1932930350,0.0207482651,31.3769752965,chronos2_baseline,0.0661257654,,
4A,2023,complete,chronos2_baseline,0.0661257654,0.1370077282,0.0661257654,0.1370077282,0.0000000000,0.0000000000,chronos2_baseline,0.0661257654,,
4A,2023,complete,fusion_aligned,0.0508162118,0.0993022472,0.0508162118,0.0993022472,-0.0153095536,-23.1521759950,chronos2_baseline,0.0661257654,,
4A,2023,complete,fusion_shuffled,0.0827273950,0.1759871691,0.0827273950,0.1759871691,0.0166016296,25.1061434889,chronos2_baseline,0.0661257654,,
4B,2021,complete,chronos2_baseline,0.0661257654,0.1370077282,0.0661257654,0.1370077282,0.0000000000,0.0000000000,chronos2_baseline,0.0661257654,,
4B,2021,complete,stage4a_cross_attention,0.0505867228,0.0994585305,0.0505867228,0.0994585305,-0.0155390427,-23.4992253739,chronos2_baseline,0.0661257654,,
4B,2021,complete,cora_aligned,0.0505252965,0.0980017781,0.0505252965,0.0980017781,-0.0156004690,-23.5921185319,chronos2_baseline,0.0661257654,,
4B,2021,complete,cora_shuffled,0.0838654861,0.1755130887,0.0838654861,0.1755130887,0.0177397206,26.8272443030,chronos2_baseline,0.0661257654,,
4B,2022,complete,chronos2_baseline,0.0661257654,0.1370077282,0.0661257654,0.1370077282,0.0000000000,0.0000000000,chronos2_baseline,0.0661257654,,
4B,2022,complete,stage4a_cross_attention,0.0511580817,0.1018390432,0.0511580817,0.1018390432,-0.0149676837,-22.6351764739,chronos2_baseline,0.0661257654,,
4B,2022,complete,cora_aligned,0.0495854057,0.0979418904,0.0495854057,0.0979418904,-0.0165403597,-25.0134869440,chronos2_baseline,0.0661257654,,
4B,2022,complete,cora_shuffled,0.0868640989,0.1903664172,0.0868640989,0.1903664172,0.0207383335,31.3619560012,chronos2_baseline,0.0661257654,,
4B,2023,complete,chronos2_baseline,0.0661257654,0.1370077282,0.0661257654,0.1370077282,0.0000000000,0.0000000000,chronos2_baseline,0.0661257654,,
4B,2023,complete,stage4a_cross_attention,0.0508162118,0.0993022472,0.0508162118,0.0993022472,-0.0153095536,-23.1521759950,chronos2_baseline,0.0661257654,,
4B,2023,complete,cora_aligned,0.0492673814,0.0963417217,0.0492673814,0.0963417217,-0.0168583840,-25.4944255091,chronos2_baseline,0.0661257654,,
4B,2023,complete,cora_shuffled,0.0828573331,0.1764454991,0.0828573331,0.1764454991,0.0167315677,25.3026449959,chronos2_baseline,0.0661257654,,
4C,2021,complete,missing_aware_gate,0.0488305166,0.0959307998,0.0488305166,0.0959307998,0.0000000000,0.0000000000,complete,0.0488305166,0.8741362095,0.0495854057
4C,2021,satellite_missing_50pct,missing_aware_gate,0.0939321741,0.1741419733,0.0939321741,0.1741419733,0.0451016575,92.3636705416,complete,0.0488305166,0.8750562668,0.1025885344
4C,2021,satellite_missing_100pct,missing_aware_gate,0.1386270523,0.2261860669,0.1386270523,0.2261860669,0.0897965357,183.8942977799,complete,0.0488305166,0.8743494153,0.1553032845
