window_id,site_id,split,context_start,context_end,forecast_origin,target_start,target_end,shuffle_source_window_id,shuffle_source_origin
site0_start10248,0,test,2022-03-05 00:00:00,2022-03-05 23:00:00,2022-03-05 23:00:00,2022-03-06 00:00:00,2022-03-06 23:00:00,site2_start11492,2022-04-26 19:00:00
site0_start10249,0,test,2022-03-05 01:00:00,2022-03-06 00:00:00,2022-03-06 00:00:00,2022-03-06 01:00:00,2022-03-07 00:00:00,site6_start10331,2022-03-09 10:00:00
site0_start10250,0,test,2022-03-05 02:00:00,2022-03-06 01:00:00,2022-03-06 01:00:00,2022-03-06 02:00:00,2022-03-07 01:00:00,site5_start10976,2022-04-05 07:00:00
site0_start10251,0,test,2022-03-05 03:00:00,2022-03-06 02:00:00,2022-03-06 02:00:00,2022-03-06 03:00:00,2022-03-07 02:00:00,site5_start11486,2022-04-26 13:00:00
site0_start10252,0,test,2022-03-05 04:00:00,2022-03-06 03:00:00,2022-03-06 03:00:00,2022-03-06 04:00:00,2022-03-07 03:00:00,site9_start12271,2022-05-29 06:00:00
site0_start10253,0,test,2022-03-05 05:00:00,2022-03-06 04:00:00,2022-03-06 04:00:00,2022-03-06 05:00:00,2022-03-07 04:00:00,site7_start12173,2022-05-25 04:00:00
site0_start10254,0,test,2022-03-05 06:00:00,2022-03-06 05:00:00,2022-03-06 05:00:00,2022-03-06 06:00:00,2022-03-07 05:00:00,site8_start12395,2022-06-03 10:00:00
site0_start10255,0,test,2022-03-05 07:00:00,2022-03-06 06:00:00,2022-03-06 06:00:00,2022-03-06 07:00:00,2022-03-07 06:00:00,site4_start12106,2022-05-22 09:00:00
site0_start10256,0,test,2022-03-05 08:00:00,2022-03-06 07:00:00,2022-03-06 07:00:00,2022-03-06 08:00:00,2022-03-07 07:00:00,site0_start12728,2022-06-17 07:00:00
site0_start10257,0,test,2022-03-05 09:00:00,2022-03-06 08:00:00,2022-03-06 08:00:00,2022-03-06 09:00:00,2022-03-07 08:00:00,site5_start11649,2022-05-03 08:00:00
site0_start10258,0,test,2022-03-05 10:00:00,2022-03-06 09:00:00,2022-03-06 09:00:00,2022-03-06 10:00:00,2022-03-07 09:00:00,site0_start10279,2022-03-07 06:00:00
site0_start10259,0,test,2022-03-05 11:00:00,2022-03-06 10:00:00,2022-03-06 10:00:00,2022-03-06 11:00:00,2022-03-07 10:00:00,site9_start11272,2022-04-17 15:00:00
site0_start10260,0,test,2022-03-05 12:00:00,2022-03-06 11:00:00,2022-03-06 11:00:00,2022-03-06 12:00:00,2022-03-07 11:00:00,site2_start12548,2022-06-09 19:00:00
site0_start10261,0,test,2022-03-05 13:00:00,2022-03-06 12:00:00,2022-03-06 12:00:00,2022-03-06 13:00:00,2022-03-07 12:00:00,site0_start12107,2022-05-22 10:00:00
site0_start10262,0,test,2022-03-05 14:00:00,2022-03-06 13:00:00,2022-03-06 13:00:00,2022-03-06 14:00:00,2022-03-07 13:00:00,site9_start12221,2022-05-27 04:00:00
site0_start10263,0,test,2022-03-05 15:00:00,2022-03-06 14:00:00,2022-03-06 14:00:00,2022-03-06 15:00:00,2022-03-07 14:00:00,site2_start12552,2022-06-09 23:00:00
site0_start10264,0,test,2022-03-05 16:00:00,2022-03-06 15:00:00,2022-03-06 15:00:00,2022-03-06 16:00:00,2022-03-07 15:00:00,site5_start10663,2022-03-23 06:00:00
site0_start10265,0,test,2022-03-05 17:00:00,2022-03-06 16:00:00,2022-03-06 16:00:00,2022-03-06 17:00:00,2022-03-07 16:00:00,site7_start10354,2022-03-10 09:00:00
site0_start10266,0,test,2022-03-05 18:00:00,2022-03-06 17:00:00,2022-03-06 17:00:00,2022-03-06 18:00:00,2022-03-07 17:00:00,site1_start10338,2022-03-09 17:00:00
site0_start10267,0,test,2022-03-05 19:00:00,2022-03-06 18:00:00,2022-03-06 18:00:00,2022-03-06 19:00:00,2022-03-07 18:00:00,site4_start11656,2022-05-03 15:00:00
site0_start10268,0,test,2022-03-05 20:00:00,2022-03-06 19:00:00,2022-03-06 19:00:00,2022-03-06 20:00:00,2022-03-07 19:00:00,site4_start10877,2022-04-01 04:00:00
site0_start10269,0,test,2022-03-05 21:00:00,2022-03-06 20:00:00,2022-03-06 20:00:00,2022-03-06 21:00:00,2022-03-07 20:00:00,site7_start10850,2022-03-31 01:00:00
site0_start10270,0,test,2022-03-05 22:00:00,2022-03-06 21:00:00,2022-03-06 21:00:00,2022-03-06 22:00:00,2022-03-07 21:00:00,site0_start12478,2022-06-06 21:00:00
site0_start10271,0,test,2022-03-05 23:00:00,2022-03-06 22:00:00,2022-03-06 22:00:00,2022-03-06 23:00:00,2022-03-07 22:00:00,site6_start10648,2022-03-22 15:00:00
site0_start10272,0,test,2022-03-06 00:00:00,2022-03-06 23:00:00,2022-03-06 23:00:00,2022-03-07 00:00:00,2022-03-07 23:00:00,site9_start10456,2022-03-14 15:00:00
site0_start10273,0,test,2022-03-06 01:00:00,2022-03-07 00:00:00,2022-03-07 00:00:00,2022-03-07 01:00:00,2022-03-08 00:00:00,site5_start10377,2022-03-11 08:00:00
site0_start10274,0,test,2022-03-06 02:00:00,2022-03-07 01:00:00,2022-03-07 01:00:00,2022-03-07 02:00:00,2022-03-08 01:00:00,site4_start11202,2022-04-14 17:00:00
site0_start10275,0,test,2022-03-06 03:00:00,2022-03-07 02:00:00,2022-03-07 02:00:00,2022-03-07 03:00:00,2022-03-08 02:00:00,site9_start11446,2022-04-24 21:00:00
site0_start10276,0,test,2022-03-06 04:00:00,2022-03-07 03:00:00,2022-03-07 03:00:00,2022-03-07 04:00:00,2022-03-08 03:00:00,site8_start11763,2022-05-08 02:00:00
site0_start10277,0,test,2022-03-06 05:00:00,2022-03-07 04:00:00,2022-03-07 04:00:00,2022-03-07 05:00:00,2022-03-08 04:00:00,site8_start11953,2022-05-16 00:00:00
site0_start10278,0,test,2022-03-06 06:00:00,2022-03-07 05:00:00,2022-03-07 05:00:00,2022-03-07 06:00:00,2022-03-08 05:00:00,site9_start12646,2022-06-13 21:00:00
site0_start10279,0,test,2022-03-06 07:00:00,2022-03-07 06:00:00,2022-03-07 06:00:00,2022-03-07 07:00:00,2022-03-08 06:00:00,site4_start12431,2022-06-04 22:00:00
site0_start10280,0,test,2022-03-06 08:00:00,2022-03-07 07:00:00,2022-03-07 07:00:00,2022-03-07 08:00:00,2022-03-08 07:00:00,site5_start10748,2022-03-26 19:00:00
site0_start10281,0,test,2022-03-06 09:00:00,2022-03-07 08:00:00,2022-03-07 08:00:00,2022-03-07 09:00:00,2022-03-08 08:00:00,site0_start12001,2022-05-18 00:00:00
site0_start10282,0,test,2022-03-06 10:00:00,2022-03-07 09:00:00,2022-03-07 09:00:00,2022-03-07 10:00:00,2022-03-08 09:00:00,site0_start10734,2022-03-26 05:00:00
site0_start10283,0,test,2022-03-06 11:00:00,2022-03-07 10:00:00,2022-03-07 10:00:00,2022-03-07 11:00:00,2022-03-08 10:00:00,site5_start11612,2022-05-01 19:00:00
site0_start10284,0,test,2022-03-06 12:00:00,2022-03-07 11:00:00,2022-03-07 11:00:00,2022-03-07 12:00:00,2022-03-08 11:00:00,site9_start11693,2022-05-05 04:00:00
site0_start10285,0,test,2022-03-06 13:00:00,2022-03-07 12:00:00,2022-03-07 12:00:00,2022-03-07 13:00:00,2022-03-08 12:00:00,site5_start11056,2022-04-08 15:00:00
site0_start10286,0,test,2022-03-06 14:00:00,2022-03-07 13:00:00,2022-03-07 13:00:00,2022-03-07 14:00:00,2022-03-08 13:00:00,site7_start12013,2022-05-18 12:00:00
site0_start10287,0,test,2022-03-06 15:00:00,2022-03-07 14:00:00,2022-03-07 14:00:00,2022-03-07 15:00:00,2022-03-08 14:00:00,site9_start11507,2022-04-27 10:00:00
site0_start10288,0,test,2022-03-06 16:00:00,2022-03-07 15:00:00,2022-03-07 15:00:00,2022-03-07 16:00:00,2022-03-08 15:00:00,site5_start10705,2022-03-25 00:00:00
site0_start10289,0,test,2022-03-06 17:00:00,2022-03-07 16:00:00,2022-03-07 16:00:00,2022-03-07 17:00:00,2022-03-08 16:00:00,site5_start10435,2022-03-13 18:00:00
site0_start10290,0,test,2022-03-06 18:00:00,2022-03-07 17:00:00,2022-03-07 17:00:00,2022-03-07 18:00:00,2022-03-08 17:00:00,site8_start12041,2022-05-19 16:00:00
site0_start10291,0,test,2022-03-06 19:00:00,2022-03-07 18:00:00,2022-03-07 18:00:00,2022-03-07 19:00:00,2022-03-08 18:00:00,site5_start12356,2022-06-01 19:00:00
site0_start10292,0,test,2022-03-06 20:00:00,2022-03-07 19:00:00,2022-03-07 19:00:00,2022-03-07 20:00:00,2022-03-08 19:00:00,site9_start12465,2022-06-06 08:00:00
