window_id,site_id,split,context_start,context_end,forecast_origin,target_start,target_end,shuffle_source_window_id,shuffle_source_origin
site0_start10248,0,test,2022-03-05 00:00:00,2022-03-05 23:00:00,2022-03-05 23:00:00,2022-03-06 00:00:00,2022-03-06 23:00:00,site0_start10250,2022-03-06 01:00:00
site0_start10249,0,test,2022-03-05 01:00:00,2022-03-06 00:00:00,2022-03-06 00:00:00,2022-03-06 01:00:00,2022-03-07 00:00:00,site1_start10251,2022-03-06 02:00:00
site0_start10250,0,test,2022-03-05 02:00:00,2022-03-06 01:00:00,2022-03-06 01:00:00,2022-03-06 02:00:00,2022-03-07 01:00:00,site0_start10259,2022-03-06 10:00:00
site0_start10251,0,test,2022-03-05 03:00:00,2022-03-06 02:00:00,2022-03-06 02:00:00,2022-03-06 03:00:00,2022-03-07 02:00:00,site1_start10261,2022-03-06 12:00:00
site0_start10252,0,test,2022-03-05 04:00:00,2022-03-06 03:00:00,2022-03-06 03:00:00,2022-03-06 04:00:00,2022-03-07 03:00:00,site1_start10262,2022-03-06 13:00:00
site0_start10253,0,test,2022-03-05 05:00:00,2022-03-06 04:00:00,2022-03-06 04:00:00,2022-03-06 05:00:00,2022-03-07 04:00:00,site0_start10254,2022-03-06 05:00:00
site0_start10254,0,test,2022-03-05 06:00:00,2022-03-06 05:00:00,2022-03-06 05:00:00,2022-03-06 06:00:00,2022-03-07 05:00:00,site1_start10260,2022-03-06 11:00:00
site0_start10255,0,test,2022-03-05 07:00:00,2022-03-06 06:00:00,2022-03-06 06:00:00,2022-03-06 07:00:00,2022-03-07 06:00:00,site0_start10258,2022-03-06 09:00:00
site0_start10256,0,test,2022-03-05 08:00:00,2022-03-06 07:00:00,2022-03-06 07:00:00,2022-03-06 08:00:00,2022-03-07 07:00:00,site1_start10248,2022-03-05 23:00:00
site0_start10257,0,test,2022-03-05 09:00:00,2022-03-06 08:00:00,2022-03-06 08:00:00,2022-03-06 09:00:00,2022-03-07 08:00:00,site0_start10249,2022-03-06 00:00:00
site0_start10258,0,test,2022-03-05 10:00:00,2022-03-06 09:00:00,2022-03-06 09:00:00,2022-03-06 10:00:00,2022-03-07 09:00:00,site0_start10257,2022-03-06 08:00:00
site0_start10259,0,test,2022-03-05 11:00:00,2022-03-06 10:00:00,2022-03-06 10:00:00,2022-03-06 11:00:00,2022-03-07 10:00:00,site0_start10251,2022-03-06 02:00:00
site0_start10260,0,test,2022-03-05 12:00:00,2022-03-06 11:00:00,2022-03-06 11:00:00,2022-03-06 12:00:00,2022-03-07 11:00:00,site0_start10256,2022-03-06 07:00:00
site0_start10261,0,test,2022-03-05 13:00:00,2022-03-06 12:00:00,2022-03-06 12:00:00,2022-03-06 13:00:00,2022-03-07 12:00:00,site1_start10259,2022-03-06 10:00:00
site0_start10262,0,test,2022-03-05 14:00:00,2022-03-06 13:00:00,2022-03-06 13:00:00,2022-03-06 14:00:00,2022-03-07 13:00:00,site1_start10250,2022-03-06 01:00:00
site0_start10263,0,test,2022-03-05 15:00:00,2022-03-06 14:00:00,2022-03-06 14:00:00,2022-03-06 15:00:00,2022-03-07 14:00:00,site1_start10252,2022-03-06 03:00:00
site1_start10248,1,test,2022-03-05 00:00:00,2022-03-05 23:00:00,2022-03-05 23:00:00,2022-03-06 00:00:00,2022-03-06 23:00:00,site1_start10256,2022-03-06 07:00:00
site1_start10249,1,test,2022-03-05 01:00:00,2022-03-06 00:00:00,2022-03-06 00:00:00,2022-03-06 01:00:00,2022-03-07 00:00:00,site1_start10253,2022-03-06 04:00:00
site1_start10250,1,test,2022-03-05 02:00:00,2022-03-06 01:00:00,2022-03-06 01:00:00,2022-03-06 02:00:00,2022-03-07 01:00:00,site0_start10252,2022-03-06 03:00:00
site1_start10251,1,test,2022-03-05 03:00:00,2022-03-06 02:00:00,2022-03-06 02:00:00,2022-03-06 03:00:00,2022-03-07 02:00:00,site0_start10253,2022-03-06 04:00:00
site1_start10252,1,test,2022-03-05 04:00:00,2022-03-06 03:00:00,2022-03-06 03:00:00,2022-03-06 04:00:00,2022-03-07 03:00:00,site0_start10248,2022-03-05 23:00:00
site1_start10253,1,test,2022-03-05 05:00:00,2022-03-06 04:00:00,2022-03-06 04:00:00,2022-03-06 05:00:00,2022-03-07 04:00:00,site0_start10260,2022-03-06 11:00:00
site1_start10254,1,test,2022-03-05 06:00:00,2022-03-06 05:00:00,2022-03-06 05:00:00,2022-03-06 06:00:00,2022-03-07 05:00:00,site1_start10263,2022-03-06 14:00:00
site1_start10255,1,test,2022-03-05 07:00:00,2022-03-06 06:00:00,2022-03-06 06:00:00,2022-03-06 07:00:00,2022-03-07 06:00:00,site1_start10257,2022-03-06 08:00:00
site1_start10256,1,test,2022-03-05 08:00:00,2022-03-06 07:00:00,2022-03-06 07:00:00,2022-03-06 08:00:00,2022-03-07 07:00:00,site0_start10255,2022-03-06 06:00:00
site1_start10257,1,test,2022-03-05 09:00:00,2022-03-06 08:00:00,2022-03-06 08:00:00,2022-03-06 09:00:00,2022-03-07 08:00:00,site0_start10261,2022-03-06 12:00:00
site1_start10258,1,test,2022-03-05 10:00:00,2022-03-06 09:00:00,2022-03-06 09:00:00,2022-03-06 10:00:00,2022-03-07 09:00:00,site0_start10263,2022-03-06 14:00:00
site1_start10259,1,test,2022-03-05 11:00:00,2022-03-06 10:00:00,2022-03-06 10:00:00,2022-03-06 11:00:00,2022-03-07 10:00:00,site1_start10249,2022-03-06 00:00:00
